Item,Category,Sub-Category
Angel Soft Toilet Paper 9 Mega Rolls 2-Ply Toilet Tissue,Supplies,Personal Care
Modern Mill Gluten-Free Farm Fresh Salad Topper 6 oz,Grocery,Snacks
Perdue Harvestland Free Range Fresh Boneless Chicken Breasts 1.79 lb,Grocery,Meat
Marketside Fresh Broccoli Florets 32 oz,Grocery,Veggies
PAM Avocado Oil Non-GMO Cooking Spray 5 oz,Grocery,Supplies
Fresh Lemon (2),Grocery,Veggies
Hain Pure Foods Sea Salt 21 oz,Grocery,Supplies
Garlic Bulb Fresh Whole 0.12 lb,Grocery,Veggies
Fresh Brussels Sprouts 1 lb Bag,Grocery,Veggies
Viva Signature Cloth Paper Towels 6 Triple Rolls,Supplies,Cleaning
Bigelow Ginger Peach Tumeric Caffeine Free Herbal Tea Bags 18 Count,Grocery,Drinks
Fresh Italian Parsley Bunch,Grocery,Veggies
Sam's Choice Organic Chicken Bone Broth 32 oz Carton,Grocery,Supplies
Great Value Non-Pareil Capers 3.5 fl oz,Grocery,Supplies
Kettle Brand Potato Chips Air Fried Jalapeno Kettle Chips 6.5 oz Bag,Grocery,Snacks
Alexia Onion Rings,Grocery,Frozen
Whole Milk Yogurt,Grocery,Baking
Basmati Rice,Grocery,Carbs
Apple Fritter Beer,Grocery,Party Drinks
Sam's Choice Dark Chocolate Squares 8.46 ounce (3),Grocery,Chocolate
Amy's Frozen Meals Indian Mattar Paneer Microwave Meal 10 oz (3),Grocery,Frozen
Grassland Unsalted Sweet Cream Butter rBST Free Usdaa Certified 16 oz 4 Sticks,Grocery,Supplies
Yellow Potatoes Whole Fresh 5lb Bag,Grocery,Veggies
Fresh Cauliflower,Grocery,Veggies
Great Value Frozen Sweet Peas 12 oz Steamable Bag,Grocery,Veggies
McCormick Kosher Curry Powder 1.75 oz Bottle,Grocery,Spices
Fresh Whole Yellow Onion 1.05 lb,Grocery,Veggies
Fresh Cilantro Bunch,Grocery,Veggies
Fresh Jalapeno Pepper 0.08 lb,Grocery,Veggies
Fresh Lime (4),Grocery,Veggies
Fresh Ginger Root 0.19 lb,Grocery,Veggies
Garlic Bulb Fresh Whole 0.25 lb,Grocery,Veggies
Stonefire Roasted Garlic Naan 8.8 oz 2 Count (2),Grocery,Carbs
Miss Vickie's Honey Mustard Flavored Kettle Cooked Potato Chips 8 oz Bag,Grocery,Snacks
Realgood Foods Co. Lightly Breaded Chicken Breast Nuggets 20 oz Bag (Frozen),Grocery,Frozen
Fresh Ginger Root 0.43 lb,Grocery,Veggies
Blue Sky Farms Organic Free Range Large Brown Grade A Eggs 12 Count,Grocery,Meat
Smoked Paprika,Grocery,Spices
Zoa Orange,Grocery,Energy Drinks
Onion Powders,Grocery,Spices
Chili Powder,Grocery,Spices
Cilantro,Grocery,Veggies
Willy’s Sweet and Spicy Salsa,Grocery,Sauce
Cazo de Oro Original Kettle Style Corn Tortilla Chips 11 oz Bag,Grocery,Snacks
Perdue Harvestland Fresh Ground Chicken 92% Lean 8% Fat 1 lb. Tray (2),Grocery,Meat
King Arthur Unbleached Bread Flour Non-GMO Project Verified Certified Kosher No Preservatives 5 Pounds,Grocery,Baking
